SITENAME|LNG|LAT|METHOD|MODEL|VARS|WEIGHTS|NDIVISIONS|DIRECTION|GROWINGSEASON|ROTATION|PERIOD|ZONES|RESOLUTION|SCENARIO|OUTFILE|THRESHOLD
COL_1372359166767|-76.495890865|3.39421747859|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[col,col]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/COL_1372359166767/|0.0
COL_1372361736091|-76.4739182087|3.39421747859|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|prec|[2020_2049,1960_1990]|[col,col]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/COL_1372361736091/|0.0
GLOBAL_1372782427130|-83.9794921875|9.90392141678|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[global,global]|[2_5min,2_5min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1372782427130/|0.0
UGA_1372952703438|32.0393201331|1.45301416461|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[uga,uga]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/UGA_1372952703438/|0.0
UGA_1372954303788|32.1931287269|0.991694634243|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[uga,uga]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/UGA_1372954303788/|0.0
UGA_1372956209073|32.0173474769|0.563268282957|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[uga,uga]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/UGA_1372956209073/|0.0
UGA_1373054660286|32.1272107581|1.28826645099|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|prec|[2020_2049,1960_1990]|[uga,uga]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/UGA_1373054660286/|0.0
COL_1373304062648|-75.2983810994|4.45737536537|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[col,col]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/COL_1373304062648/|0.0
GLOBAL_1373404526834|23.73046875|37.9788450405|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|tmean|[1960_1990,1960_1990]|[global,global]|[2_5min,2_5min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1373404526834/|0.0
GLOBAL_1373536728504|36.03515625|3.46955730306|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|4:9|prec|[2020_2049,1960_1990]|[global,global]|[2_5min,2_5min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1373536728504/|0.1
GLOBAL_1373540742856|0.703125|51.8357775205|ccafs|[ensemble,ensemble]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|prec|[2020_2049,2020_2049]|[global,global]|[2_5min,2_5min]|[a1b,a1b]|/var/www/analogues/outputs/GLOBAL_1373540742856/|0.0
GLOBAL_1373541531900|76.9921875|24.5271348226|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[global,global]|[2_5min,2_5min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1373541531900/|0.0
